date,provincie,cases,hospital_admission,deceased,most_likely,low_90,high_90
2020-02-28,Drenthe,0.0,0.0,0.0,0.0,0.0,10.81
2020-02-29,Drenthe,0.0,0.0,0.0,0.4,0.0,8.73
2020-03-01,Drenthe,0.0,0.0,0.0,0.46,0.0,7.1
2020-03-02,Drenthe,0.0,0.0,0.0,0.51,0.0,6.15
2020-03-03,Drenthe,0.0,0.0,0.0,0.55,0.0,5.55
2020-03-04,Drenthe,2.0,0.0,0.0,0.58,0.0,5.11
2020-03-05,Drenthe,0.0,0.0,0.0,0.6,0.0,4.79
2020-03-06,Drenthe,0.0,0.0,0.0,1.84,0.0,5.06
2020-03-07,Drenthe,2.0,0.0,0.0,1.53,0.0,4.56
2020-03-08,Drenthe,3.0,0.0,0.0,1.36,0.0,4.21
2020-03-09,Drenthe,0.0,0.0,0.0,1.27,0.0,3.95
2020-03-10,Drenthe,5.0,0.0,0.0,1.21,0.0,3.74
2020-03-11,Drenthe,0.0,0.0,0.0,1.16,0.0,3.57
2020-03-12,Drenthe,2.0,0.0,0.0,1.11,0.0,3.43
2020-03-13,Drenthe,0.0,0.0,0.0,1.07,0.0,3.32
2020-03-14,Drenthe,2.0,0.0,0.0,0.63,0.0,3.0
2020-03-15,Drenthe,0.0,0.0,0.0,1.0,0.0,3.2
2020-03-16,Drenthe,1.0,1.0,0.0,0.97,0.0,3.11
2020-03-17,Drenthe,2.0,0.0,0.0,1.34,0.0,3.25
2020-03-18,Drenthe,5.0,0.0,0.0,1.28,0.0,3.12
2020-03-19,Drenthe,3.0,0.0,1.0,1.51,0.01,3.2
2020-03-20,Drenthe,6.0,1.0,0.0,1.66,0.07,3.27
2020-03-21,Drenthe,6.0,1.0,0.0,1.55,0.04,3.07
2020-03-22,Drenthe,4.0,1.0,0.0,1.47,0.0,2.9
2020-03-23,Drenthe,7.0,4.0,1.0,1.57,0.09,2.99
2020-03-24,Drenthe,6.0,4.0,0.0,1.64,0.11,2.99
2020-03-25,Drenthe,5.0,2.0,0.0,1.68,0.15,2.98
2020-03-26,Drenthe,12.0,4.0,0.0,1.82,0.25,3.08
2020-03-27,Drenthe,8.0,3.0,1.0,1.79,0.28,3.0
2020-03-28,Drenthe,17.0,3.0,0.0,1.65,0.22,2.8
2020-03-29,Drenthe,15.0,2.0,0.0,1.64,0.26,2.77
2020-03-30,Drenthe,4.0,4.0,0.0,1.54,0.2,2.61
2020-03-31,Drenthe,9.0,8.0,1.0,1.45,0.22,2.54
2020-04-01,Drenthe,20.0,5.0,1.0,1.46,0.19,2.49
2020-04-02,Drenthe,15.0,1.0,3.0,1.54,0.27,2.57
2020-04-03,Drenthe,12.0,5.0,1.0,1.45,0.23,2.45
