date,most_likely,low_65,high_65,low_95,high_95
2020-03-06,0.0,0.0,7.81,0.0,11.41
2020-03-07,3.61,2.52,4.48,1.41,5.51
2020-03-08,3.25,2.52,3.82,1.8,4.52
2020-03-09,3.06,2.5,3.51,1.97,4.08
2020-03-10,2.77,2.27,3.13,1.83,3.62
2020-03-11,2.62,2.2,2.96,1.79,3.38
2020-03-12,2.4,2.0,2.7,1.63,3.09
2020-03-13,2.27,1.93,2.58,1.54,2.91
2020-03-14,2.19,1.83,2.45,1.49,2.79
2020-03-15,2.17,1.83,2.42,1.52,2.75
2020-03-16,2.18,1.85,2.41,1.58,2.74
2020-03-17,2.22,1.9,2.43,1.63,2.73
2020-03-18,2.25,1.98,2.47,1.7,2.73
2020-03-19,2.21,1.97,2.43,1.7,2.67
2020-03-20,2.04,1.78,2.22,1.55,2.47
2020-03-21,1.9,1.67,2.09,1.44,2.32
2020-03-22,1.77,1.53,1.94,1.32,2.17
2020-03-23,1.74,1.53,1.92,1.31,2.13
2020-03-24,1.8,1.57,1.95,1.38,2.17
2020-03-25,1.83,1.63,1.99,1.45,2.2
2020-03-26,1.79,1.57,1.92,1.41,2.13
2020-03-27,1.57,1.36,1.7,1.19,1.89
2020-03-28,1.25,1.06,1.39,0.89,1.58
2020-03-29,1.0,0.79,1.13,0.62,1.32
2020-03-30,0.87,0.67,1.01,0.48,1.19
2020-03-31,0.86,0.67,1.01,0.47,1.19
2020-04-01,0.97,0.79,1.13,0.58,1.3
2020-04-02,1.09,0.89,1.23,0.71,1.42
2020-04-03,1.12,0.91,1.25,0.73,1.44
2020-04-04,1.01,0.8,1.14,0.65,1.35
2020-04-05,0.89,0.69,1.03,0.51,1.22
2020-04-06,0.91,0.72,1.06,0.51,1.23
2020-04-07,1.07,0.88,1.22,0.7,1.41
2020-04-08,1.27,1.06,1.4,0.9,1.6
2020-04-09,1.38,1.18,1.51,1.03,1.71
2020-04-10,1.32,1.14,1.46,0.96,1.63
2020-04-11,1.11,0.92,1.24,0.74,1.41
2020-04-12,0.78,0.57,0.9,0.41,1.09
2020-04-13,0.59,0.41,0.74,0.2,0.9
2020-04-14,0.63,0.44,0.78,0.27,0.98
2020-04-15,0.87,0.65,1.0,0.48,1.2
2020-04-16,1.11,0.92,1.26,0.74,1.45
2020-04-17,1.16,0.95,1.29,0.79,1.49
2020-04-18,0.99,0.78,1.12,0.62,1.32
2020-04-19,0.74,0.55,0.89,0.37,1.08
2020-04-20,0.52,0.31,0.66,0.12,0.85
2020-04-21,0.47,0.26,0.62,0.07,0.81
2020-04-22,0.55,0.35,0.72,0.15,0.92
2020-04-23,0.69,0.47,0.85,0.27,1.06
2020-04-24,0.69,0.48,0.86,0.26,1.06
2020-04-25,0.43,0.19,0.58,0.01,0.78
2020-04-26,0.18,0.0,0.31,0.0,0.59
2020-04-27,0.04,0.0,0.23,0.0,0.54
2020-04-28,0.16,0.0,0.3,0.0,0.6
2020-04-29,0.43,0.18,0.61,0.0,0.84
2020-04-30,0.71,0.43,0.9,0.2,1.17
2020-05-01,0.83,0.56,1.03,0.31,1.29
2020-05-02,0.79,0.53,1.0,0.28,1.26
2020-05-03,0.57,0.28,0.76,0.05,1.01
2020-05-04,0.47,0.18,0.66,0.0,0.92
2020-05-05,0.56,0.27,0.77,0.04,1.03
2020-05-06,0.74,0.42,0.94,0.18,1.24
2020-05-07,0.84,0.53,1.05,0.29,1.36
2020-05-08,0.82,0.51,1.03,0.26,1.33
2020-05-09,0.63,0.32,0.84,0.06,1.11
2020-05-10,0.48,0.18,0.69,0.0,0.96
2020-05-11,0.45,0.15,0.66,0.0,0.95
2020-05-12,0.53,0.21,0.75,0.0,1.04
2020-05-13,0.67,0.33,0.9,0.07,1.21
2020-05-14,0.73,0.38,0.96,0.11,1.28
2020-05-15,0.7,0.36,0.94,0.06,1.23
2020-05-16,0.52,0.2,0.76,0.0,1.06
2020-05-17,0.42,0.11,0.65,0.0,1.0
2020-05-18,0.5,0.19,0.76,0.0,1.08
2020-05-19,0.75,0.38,1.01,0.09,1.35
2020-05-20,1.02,0.66,1.29,0.33,1.64
2020-05-21,1.18,0.86,1.47,0.52,1.8
2020-05-22,1.19,0.86,1.46,0.52,1.78
2020-05-23,1.09,0.73,1.33,0.45,1.69
2020-05-24,0.97,0.61,1.21,0.33,1.57
2020-05-25,0.89,0.56,1.16,0.23,1.48
2020-05-26,0.9,0.55,1.16,0.24,1.5
2020-05-27,0.9,0.57,1.18,0.23,1.5
2020-05-28,0.91,0.54,1.16,0.22,1.5
2020-05-29,0.81,0.45,1.07,0.13,1.4
2020-05-30,0.73,0.39,1.01,0.06,1.31
2020-05-31,0.56,0.2,0.81,0.0,1.14
2020-06-01,0.53,0.18,0.79,0.0,1.14
2020-06-02,0.67,0.3,0.95,0.03,1.29
2020-06-03,0.98,0.61,1.28,0.24,1.63
2020-06-04,1.31,0.96,1.61,0.62,1.98
2020-06-05,1.51,1.14,1.77,0.82,2.13
2020-06-06,1.47,1.16,1.76,0.81,2.07
2020-06-07,1.33,1.0,1.59,0.66,1.9
2020-06-08,1.1,0.76,1.35,0.46,1.69
2020-06-09,0.97,0.62,1.22,0.33,1.57
2020-06-10,0.95,0.62,1.22,0.31,1.56
